Time,Production
22-05-2004,10.7415
23-05-2004,23.624
24-05-2004,24.2405
25-05-2004,25.1527
26-05-2004,24.244
27-05-2004,25.1299
28-05-2004,24.9609
29-05-2004,23.1459
30-05-2004,18.7684
31-05-2004,20.0319
01-06-2004,19.5746
02-06-2004,20.3271
03-06-2004,21.4355
04-06-2004,20.8874
05-06-2004,20.4499
06-06-2004,20.8195
07-06-2004,21.9043
08-06-2004,21.3658
09-06-2004,21.2316
10-06-2004,21.2729
11-06-2004,21.0666
12-06-2004,20.4413
13-06-2004,20.3913
14-06-2004,20.2106
15-06-2004,20.1679
16-06-2004,20.4759
17-06-2004,20.9915
18-06-2004,20.627
19-06-2004,20.7484
20-06-2004,20.798
21-06-2004,20.7345
22-06-2004,20.8239
23-06-2004,20.6892
24-06-2004,20.7763
25-06-2004,20.2896
26-06-2004,20.4204
27-06-2004,20.4125
28-06-2004,20.5332
29-06-2004,20.2549
30-06-2004,20.3518
01-07-2004,20.9866
02-07-2004,20.7271
03-07-2004,20.7563
04-07-2004,20.8081
05-07-2004,20.5528
06-07-2004,20.7554
07-07-2004,20.685
08-07-2004,20.7498
09-07-2004,20.6237
10-07-2004,20.6618
11-07-2004,20.5206
12-07-2004,20.7975
13-07-2004,20.5138
14-07-2004,20.626
15-07-2004,20.8118
16-07-2004,20.8253
17-07-2004,20.8102
18-07-2004,20.573
19-07-2004,20.64
20-07-2004,20.7892
21-07-2004,20.8912
22-07-2004,20.6192
23-07-2004,20.5682
24-07-2004,20.736
25-07-2004,20.7436
26-07-2004,20.6555
27-07-2004,20.6485
28-07-2004,20.8541
29-07-2004,21.0242
30-07-2004,20.3053
31-07-2004,20.5599
01-08-2004,20.6448
02-08-2004,20.7294
03-08-2004,20.6333
04-08-2004,20.7837
05-08-2004,20.6213
06-08-2004,20.7847
07-08-2004,20.6084
08-08-2004,20.7486
09-08-2004,20.6169
10-08-2004,20.5324
11-08-2004,21.2079
12-08-2004,20.5697
13-08-2004,20.9001
14-08-2004,20.9446
15-08-2004,20.6748
16-08-2004,20.6915
17-08-2004,20.5773
18-08-2004,20.669
19-08-2004,20.9079
20-08-2004,20.5673
21-08-2004,20.3847
22-08-2004,20.3437
23-08-2004,20.7027
24-08-2004,20.5891
25-08-2004,20.8694
26-08-2004,20.8041
27-08-2004,20.6924
28-08-2004,20.6314
29-08-2004,20.5788
30-08-2004,20.7476
31-08-2004,20.7838
01-09-2004,20.9145
02-09-2004,20.7248
03-09-2004,20.659
04-09-2004,20.6837
05-09-2004,20.5853
06-09-2004,20.6833
07-09-2004,20.8227
08-09-2004,20.7373
09-09-2004,19.2298
10-09-2004,10.1009
11-09-2004,20.9168
12-09-2004,21.6849
13-09-2004,22.0122
14-09-2004,21.709
15-09-2004,21.7976
16-09-2004,21.7442
17-09-2004,22.0234
18-09-2004,21.9098
19-09-2004,21.7706
20-09-2004,21.5159
21-09-2004,21.3765
22-09-2004,21.8734
23-09-2004,21.4443
24-09-2004,21.0636
25-09-2004,21.6193
26-09-2004,21.5974
27-09-2004,21.7767
28-09-2004,21.5746
29-09-2004,21.8488
30-09-2004,22.9508
01-10-2004,23.0995
02-10-2004,22.5522
03-10-2004,22.5801
04-10-2004,22.0521
05-10-2004,21.8822
06-10-2004,22.4587
07-10-2004,23.145
08-10-2004,22.7687
09-10-2004,22.9944
10-10-2004,23.2116
11-10-2004,22.7482
12-10-2004,23.4049
13-10-2004,24.2853
14-10-2004,24.0163
15-10-2004,23.8977
16-10-2004,25.182
17-10-2004,25.1332
18-10-2004,24.5457
19-10-2004,24.4861
20-10-2004,24.9964
21-10-2004,24.8118
22-10-2004,24.8095
23-10-2004,24.6709
24-10-2004,24.5873
25-10-2004,24.2876
26-10-2004,24.509
27-10-2004,24.9108
28-10-2004,24.3843
29-10-2004,24.4222
30-10-2004,24.2301
31-10-2004,24.0789
01-11-2004,24.1553
02-11-2004,24.1175
03-11-2004,23.9711
04-11-2004,24.5206
05-11-2004,24.1821
06-11-2004,24.4842
07-11-2004,23.9014
08-11-2004,24.3912
09-11-2004,24.2819
10-11-2004,24.4849
11-11-2004,23.9347
