Date,Cum. flow,Condensate,Water,CGR,WGR,Avg. Pressure,Total flow
2004-05-23,34.3655,8.05,3.2,0.340755164,0.135455469,2242.0,23.624
2004-05-24,58.606,8.12,5.03,0.334976589,0.207503971,2283.0,24.2405
2004-05-25,83.7587,8.01,3.1,0.318454878,0.123247206,2323.0,25.1527
2004-05-26,108.0027,5.58,1.43,0.23016004,0.058983666,2328.5,24.244
2004-05-27,133.1326,5.62,1.78,0.223637977,0.070831957,2320.0,25.1299
2004-05-28,158.0935,5.6,1.35,0.224350885,0.054084588,2299.0,24.9609
2004-05-29,181.2394,5.35,1.1,0.231142449,0.047524616,2304.0,23.1459
2004-05-30,200.0078,4.95,1.2,0.263741182,0.063937256,2317.5,18.7684
2004-05-31,220.0397,4.9,1.4,0.244609847,0.069888528,2302.5,20.0319
2004-06-01,239.6143,4.89,2.44,0.249813534,0.124651334,2267.5,19.5746
2004-06-02,259.9414,5.15,2.65,0.253356357,0.130367834,2217.5,20.3271
2004-06-03,281.3769,5.65,1.2,0.263581442,0.055981899,2222.5,21.4355
2004-06-04,302.2643,5.45,1.2,0.260922853,0.057450903,2217.5,20.8874
2004-06-05,322.7142,5.6,1.1,0.27383997,0.053789994,2225.0,20.4499
2004-06-06,343.5337,6.1,1.5,0.292994548,0.07204784,2205.0,20.8195
2004-06-07,365.438,9.9,1.6,0.451966052,0.073045019,2182.5,21.9043
2004-06-08,386.8038,7.9,1.5,0.369749787,0.070205656,2188.5,21.3658
2004-06-09,408.0354,9.1,1.5,0.428606417,0.070649409,2192.5,21.2316
2004-06-10,429.3083,9.1,1.5,0.427774304,0.070512248,2194.0,21.2729
2004-06-11,450.3749,8.06,1.5,0.382596147,0.071202757,2196.5,21.0666
2004-06-12,470.8162,8.05,2.0,0.39381057,0.097841135,2190.0,20.4413
2004-06-13,491.2075,8.45,1.5,0.414392412,0.073560783,2193.5,20.3913
2004-06-14,511.4181,8.5,1.2,0.420571383,0.059374784,2191.5,20.2106
2004-06-15,531.586,8.5,2.2,0.421461828,0.109084238,2196.5,20.1679
2004-06-16,552.0619,8.75,2.0,0.427331644,0.097675804,2192.0,20.4759
2004-06-17,573.0534,9.5,1.1,0.452564133,0.052402163,2205.0,20.9915
2004-06-18,593.6804,9.5,1.2,0.4605614,0.058176177,2212.5,20.627
2004-06-19,614.4288,9.2,1.1,0.443407684,0.053016136,2201.5,20.7484
2004-06-20,635.2268,9.5,1.2,0.45677469,0.057697856,2195.5,20.798
2004-06-21,655.9613,10.0,1.2,0.482287974,0.057874557,2197.0,20.7345
2004-06-22,676.7852,11.0,2.0,0.528239187,0.096043488,2196.5,20.8239
2004-06-23,697.4744,9.5,1.7,0.459176769,0.082168474,2197.0,20.6892
2004-06-24,718.2507,9.95,1.25,0.478911067,0.060164707,2206.5,20.7763
2004-06-25,738.5403,9.5,1.1,0.468220172,0.054214967,2208.0,20.2896
2004-06-26,758.9607,9.5,2.0,0.465221053,0.097941274,2208.5,20.4204
2004-06-27,779.3732,9.38,2.14,0.459522352,0.104837722,2210.0,20.4125
2004-06-28,799.9064,10.05,1.82,0.48945123,0.088636939,2206.5,20.5332
2004-06-29,820.1613,9.67,1.42,0.477415341,0.070106493,2210.0,20.2549
2004-06-30,840.5131,9.66,1.96,0.474650891,0.096305978,2201.5,20.3518
2004-07-01,861.4997,9.63,2.03,0.458864228,0.096728389,2197.5,20.9866
2004-07-02,882.2268,9.24,2.27,0.445793189,0.109518457,2194.0,20.7271
2004-07-03,902.9831,9.19,1.99,0.442757139,0.095874506,2192.0,20.7563
2004-07-04,923.7912,9.73,2.03,0.467606365,0.097558162,2192.0,20.8081
2004-07-05,944.344,9.95,1.59,0.484118952,0.077361722,2204.5,20.5528
2004-07-06,965.0994,9.02,0.87,0.434585698,0.041916802,2197.0,20.7554
2004-07-07,985.7844,9.09,2.31,0.439448876,0.111675127,2198.0,20.685
2004-07-08,1006.5342,8.8,2.53,0.424100473,0.121928886,2204.5,20.7498
2004-07-09,1027.1579,8.06,2.36,0.390812512,0.114431455,2193.5,20.6237
2004-07-10,1047.8197,8.86,2.07,0.428810655,0.100184882,2207.0,20.6618
2004-07-11,1068.3403,8.82,1.44,0.429811994,0.070173387,2203.0,20.5206
2004-07-12,1089.1378,9.15,2.16,0.439956726,0.103858637,2200.5,20.7975
2004-07-13,1109.6516,9.19,1.25,0.447991108,0.06093459,2198.5,20.5138
2004-07-14,1130.2776,9.27,1.67,0.449432755,0.080965771,2197.0,20.626
2004-07-15,1151.0894,9.21,1.9,0.442537407,0.091294362,2199.5,20.8118
2004-07-16,1171.9147,9.12,2.55,0.437928865,0.122447216,2195.0,20.8253
2004-07-17,1192.7249,9.21,1.55,0.442571431,0.074482706,2200.0,20.8102
2004-07-18,1213.2979,9.27,1.59,0.45059058,0.077285763,2203.5,20.573
2004-07-19,1233.9379,9.15,2.17,0.443313953,0.105135659,2195.0,20.64
2004-07-20,1254.7271,8.97,2.03,0.431474035,0.097646855,2194.5,20.7892
2004-07-21,1275.6183,9.37,1.89,0.448514207,0.090468714,2195.0,20.8912
2004-07-22,1296.2375,9.03,1.31,0.437941336,0.063533018,2200.0,20.6192
2004-07-23,1316.8057,9.44,1.45,0.45896092,0.070497175,2197.0,20.5682
2004-07-24,1337.5417,9.67,1.61,0.466338735,0.077642747,2195.5,20.736
2004-07-25,1358.2853,10.06,1.82,0.484968858,0.087737905,2195.0,20.7436
2004-07-26,1378.9408,10.17,1.5,0.492362809,0.072619883,2195.0,20.6555
2004-07-27,1399.5893,9.86,1.67,0.477516527,0.080877546,2192.5,20.6485
2004-07-28,1420.4434,9.33,1.93,0.447394038,0.092547748,2195.0,20.8541
2004-07-29,1441.4676,9.72,1.8,0.462324369,0.085615624,2193.5,21.0242
2004-07-30,1461.7729,8.83,1.22,0.434861834,0.060082836,2208.0,20.3053
2004-07-31,1482.3328,9.9,1.74,0.481519852,0.084630762,2206.0,20.5599
2004-08-01,1502.9776,10.65,1.92,0.515868403,0.093001628,2206.5,20.6448
2004-08-02,1523.707,9.91,1.71,0.478064971,0.082491534,2203.5,20.7294
2004-08-03,1544.3403,9.58,1.62,0.464298004,0.078513859,2203.0,20.6333
2004-08-04,1565.124,9.78,1.85,0.470561065,0.089012062,2201.5,20.7837
2004-08-05,1585.7453,9.51,1.83,0.461173641,0.088743193,2202.5,20.6213
2004-08-06,1606.53,9.61,1.61,0.462359332,0.077460825,2202.0,20.7847
2004-08-07,1627.1384,9.73,1.86,0.472137575,0.090254459,2202.0,20.6084
2004-08-08,1647.887,9.54,1.89,0.459790058,0.091090483,2200.5,20.7486
2004-08-09,1668.5039,9.65,1.59,0.468062609,0.077121197,2203.5,20.6169
2004-08-10,1689.0363,9.69,1.73,0.471937036,0.084257077,2200.5,20.5324
2004-08-11,1710.2442,9.47,1.6,0.446531717,0.075443585,2194.0,21.2079
2004-08-12,1730.8139,9.71,1.64,0.472053555,0.079728922,2200.5,20.5697
2004-08-13,1751.714,9.9,1.55,0.473681944,0.074162325,2191.5,20.9001
2004-08-14,1772.6586,10.33,1.8,0.493205886,0.085941006,2191.0,20.9446
2004-08-15,1793.3334,9.61,1.91,0.464817072,0.092382998,2194.0,20.6748
2004-08-16,1814.0249,9.67,1.78,0.467341662,0.086025663,2192.0,20.6915
2004-08-17,1834.6022,9.54,1.7,0.463617676,0.082615309,2192.5,20.5773
2004-08-18,1855.2712,9.94,1.66,0.480913445,0.080313513,2194.5,20.669
2004-08-19,1876.1791,10.1,1.92,0.483070992,0.091831317,2191.5,20.9079
2004-08-20,1896.7464,9.28,1.67,0.451201665,0.081196851,2192.5,20.5673
2004-08-21,1917.1311,8.92,1.57,0.437583089,0.077018548,2200.5,20.3847
2004-08-22,1937.4748,8.5,1.65,0.417819767,0.08110619,2203.0,20.3437
2004-08-23,1958.1775,9.66,2.05,0.466605805,0.099020901,2193.0,20.7027
2004-08-24,1978.7666,9.71,1.64,0.471608764,0.079653797,2192.0,20.5891
2004-08-25,1999.636,10.01,1.79,0.479649631,0.085771512,2191.0,20.8694
2004-08-26,2020.4401,9.77,2.05,0.469618969,0.098538269,2192.5,20.8041
